distinct_fullvisitorid,distinct_visitid,occurrences
11948804773198777420,1552431059,1
11952091868883963115,1551912272,1
11953706412925570115,1552171131,1
11956790276949423146,1552171214,1
11963617763203313323,1551481137,1
11964608750329342241,1552602563,1
11965471179400212043,1552517507,1
11968999062084562915,1551564957,1
1197078808940161308,1551481006,1
11972192355279304791,1552085368,1
11975847843945859406,1551479546,1
11982923977059695466,1552515375,1
11984249468968590407,1552257448,1
11994889269437027961,1551566841,1
12004610847049909663,1552431098,1
12006211000126003653,1552084835,1
12011753299988422254,1552344590,1
12013545900963599768,1552516346,1
12014302439651102178,1551480534,1
12014967976267424646,1551998118,1
12017456415131605441,1551999505,1
12017786106664046652,1552602378,1
12019215184854863916,1552517528,1
12023281532669847703,1552515991,1
12026897617729425566,1552343305,1
12030301072829906220,1551653863,1
1203239760937816048,1551567521,1
12035698746787445961,1551998980,1
1204136160436782655,1552430989,1
12043576057363383033,1552517607,1
12046619060825312741,1551567184,1
120556326546672553,1552429670,1
12055734220551573677,1551566687,1
12057169984812214436,1552256731,1
1207603737044030932,1552085988,1
12077756736301593073,1552085049,1
1208676798747315907,1552344224,1
12088829513996616987,1551480060,1
1209232524395738612,1552597979,1
12095287460444200698,1552517763,1
1209875699555119005,1552085157,1
12111191640055019741,1552170769,2
12111191640055019741,1552256132,2
12122186375913742192,1552083920,1
12126030349132710409,1551567291,1
12128930158472428640,1551652695,2
12128930158472428640,1552171380,2
12137082683691104323,1552343875,1
12139120057003326767,1551481057,1
12139244074243991225,1552430578,1
12143280553376021090,1552603012,1
1214382514658168550,1552516797,1
12150929987510502597,1552603636,1
12152277629284931883,1552599782,1
12154307705534871274,1552082013,1
12154475740780851149,1551480795,1
12161635468100376355,1552342852,1
12167066225333072422,1552604229,1
12169180975076612286,1552084789,1
12171766689351037425,1551481149,1
12182592476236797897,1551477572,1
12183856162058389053,1551650704,1
1218885929835422319,1552085906,1
12189069677115908838,1551478463,1
12199059120576333963,1552604249,1
12201112838518494612,1552171702,1
12202340321220831354,1551911271,1
12202721818193177356,1552603926,1
12207522007015599627,1552171891,1
12207527068815489563,1552083450,1
12208404925386737697,1551911464,1
12212669145364393295,1551566010,1
12214535926279479237,1551825688,1
12215019186327417870,1551999394,1
12224454014433998952,1551825137,1
12228825500649836389,1552258334,1
12231457656903553976,1551652212,1
12238963313061231194,1552171750,1
12248665636686608223,1552258751,1
12258620407030987250,1552256955,1
12260046833653425150,1552603460,2
12260046833653425150,1552516935,2
12263913033729380652,1551480833,1
12271204350252433648,1552517904,1
12278731426744522293,1551567597,1
12284599933326129351,1552170641,1
12289329093133661209,1552257672,1
12290457389091255984,1552431073,1
12296213373854661819,1552515946,1
12297029486141690682,1552603584,1
12297226599254817416,1551567147,1
1229737285289663834,1552603533,1
12311666368236201766,1551651818,1
12311707495346714660,1551567562,1
1231443214156684504,1551826020,3
1231443214156684504,1552256176,3
1231443214156684504,1551912857,3
12315858899513271941,1552603729,1
1232147697294911293,1552256014,1
12322024682617803646,1552085919,1
12327217251527129617,1551651668,1
12333959960162610575,1551567198,1
12336466973527201754,1552085506,1
12338550917130659389,1552258205,1
12338988921142961246,1552430845,1
12339616780948380044,1552430676,1
12343094799616137550,1552258737,1
12347622068862966612,1552516032,1
1234840406456141670,1552258104,1
12358756775141768386,1552516146,1
12360132154626067999,1551652907,1
12365205269377889215,1551653356,1
12380899626095716460,1552257869,1
12382260226889142611,1551480332,1
12384441154992324183,1552431595,1
12390553086736374434,1552085879,1
12392675813635680348,1551478348,1
